00BS,E02001215,680
00BS,E02001216,750
00BS,E02001217,570
00BS,E02001218,820
00BS,E02001219,790
00BS,E02001220,690
00BS,E02001221,750
00BS,E02001222,710
00BS,E02001223,930
00BS,E02001224,700
00BS,E02001225,780
00BS,E02001226,640
00BS,E02001227,950
00BS,E02001228,810
00BT,E02001229,610
00BT,E02001230,660
00BT,E02001231,630
00BT,E02001232,530
00BT,E02001233,500
00BT,E02001234,490
00BT,E02001235,550
00BT,E02001236,500
00BT,E02001237,560
00BT,E02001238,530
00BT,E02001239,510
00BT,E02001240,580
00BT,E02001241,450
00BT,E02001242,600
00BT,E02001243,620
00BT,E02001244,680
00BT,E02001245,530
00BT,E02001246,500
00BT,E02001247,520
00BT,E02001248,510
00BT,E02001249,540
00BT,E02001250,650
00BT,E02001251,620
00BT,E02001252,570
00BT,E02001253,560
00BT,E02001254,540
00BT,E02001255,430
00BT,E02001256,500
00BT,E02001257,490
00BT,E02001258,610
00BU,E02001259,480
00BU,E02001260,680
00BU,E02001261,560
00BU,E02001262,520
00BU,E02001263,700
00BU,E02001264,620
00BU,E02001265,600
00BU,E02001266,540
00BU,E02001267,590
00BU,E02001268,640
00BU,E02001269,560
