ALS 	KALS 	San Luis Valley Regional Airport 	Alamosa; Colorado; United States
ALT 		Alenquer Airport 	Alenquer; Pará; Brazil
ALU 	HCMA 	Alula Airport 	Alula; Somalia
ALV 		Andorra La Vella Airport 	Andorra la Vella; Andorra
ALW 	KALW 	Walla Walla Regional Airport 	Walla Walla; Washington; United States
ALX 	KALX 	Thomas C. Russell Field 	Alexander City; Alabama; United States
ALY 	HEAX 	Alexandria International Airport 	Alexandria; Egypt
ALZ 		Alitak Seaplane Base 	Lazy Bay; Alaska; United States
-AM-
AMA 	KAMA 	Rick Husband Amarillo International Airport 	Amarillo; Texas; United States
AMB 	FMNE 	Ambilobe Airport 	Ambilobe; Madagascar
AMC 	FTTN 	Am Timan Airport 	Am Timan; Chad
AMD 	VAAH 	Sardar Vallabhbhai Patel International Airport 	Ahmedabad; India
AME 		Alto Molocue Airport 	Alto Molocue; Mozambique
AMF 		Ama Airport 	Ama; Papua New Guinea
AMG 		Amboin Airport 	Amboin; Papua New Guinea
AMH 	HAAM 	Arba Minch Airport 	Arba Minch; Ethiopia
AMI 	WADA 	Selaparang Airport (closed 2011) 	Mataram; Indonesia
AMJ 	SNAR 	Almenara Airport 	Almenara; Minas Gerais; Brazil
AMK 		Animas Air Park (FAA: 00C) 	Durango; Colorado; United States
AML 		Puerto Armuellas Airport 	Puerto Armuellas; Panama
AMM 	OJAI 	Queen Alia International Airport 	Amman; Jordan
AMN 	KAMN 	Gratiot Community Airport 	Alma; Michigan; United States
AMO 	FTTU 	Mao Airport 	Mao; Chad
AMP 	FMSY 	Ampanihy Airport 	Ampanihy; Madagascar
AMQ 	WAPP 	Pattimura Airport 	Ambon; Indonesia
AMR 		Arno Airport 	Arno; Marshall Islands
AMS 	EHAM 	Schiphol Airport 	Haarlemmermeer; Netherlands
AMT 	YAMT 	Amata Airport 	Amata; Northern Territory; Australia
AMU 		Amanab Airport 	Amanab; Papua New Guinea
AMV 	ULDD 	Amderma Airport 	Amderma; Russia
AMW 	KAMW 	Ames Municipal Airport 	Ames; Iowa; United States
AMX 		Ammaroo Airport 	Ammaroo; Northern Territory; Australia
AMY 		Ambatomainty Airport 	Ambatomainty; Madagascar
AMZ 	NZAR 	Ardmore Airport 	Ardmore; New Zealand
-AN-
ANB 	KANB 	Anniston Metropolitan Airport 	Anniston; Alabama; United States
ANC 	PANC 	Ted Stevens Anchorage International Airport 	Anchorage; Alaska; United States
AND 	KAND 	Anderson Regional Airport 	Anderson; South Carolina; United States
ANE 	LFJR 	Angers - Avrillé Aerodrome (Angers-Marcé Airport) 	Angers; France
ANF 	SCFA 	Cerro Moreno International Airport 	Antofagasta; Chile
ANG 	LFBU 	Angoulême - Brie - Champniers Airport 	Angoulême; France
ANH 		Anuha Island Resort Airport 	Anuha Island Resort; Solomon Islands
ANI 	PANI 	Aniak Airport 	Aniak; Alaska; United States
ANJ 	FCBZ 	Zanaga Airport 	Zanaga; Republic of the Congo
ANK 	LTAD 	Etimesgut Airport 	Ankara; Turkey
ANL 		Andulo Airport 	Andulo; Angola
ANM 	FMNH 	Antsirabato Airport 	Antalaha; Madagascar
ANN 	PANT 	Annette Island Airport 	Annette Island; Alaska; United States
ANO 	FQAG 	Angoche Airport 	Angoche; Mozambique
ANP 	KANP 	Lee Airport 	Annapolis; Maryland; United States
ANQ 	KANQ 	Tri-State Steuben County Airport 	Angola; Indiana; United States
ANR 	EBAW 	Antwerp International Airport 	Antwerp; Belgium
ANS 	SPHY 	Andahuaylas Airport 	Andahuaylas; Peru
ANT 		St. Anton Airport 	St. Anton; Austria
ANU 	TAPA 	V.C. Bird International Airport 	St. John's; Antigua; Antigua and Barbuda
ANV 	PANV 	Anvik Airport 	Anvik; Alaska; United States
